actual,predicted
190.0,196.29623
255.0,278.12665
192.78,170.10457
308.44,284.5303
305.0,264.3015
140.0,114.96947
245.0,238.98232
192.78,186.08707
327.5,311.73642
158.76,160.23703
192.78,204.80661
155.0,151.17354
310.0,294.213
235.0,240.18353
197.5,195.10901
105.0,125.98285
282.5,275.81433
142.88,148.69589
222.5,198.97942
154.22,160.24384
190.0,183.06763
200.0,198.69157
106.59,121.47923
225.0,196.48409
200.0,218.36809
127.5,118.67779
149.69,138.50119
167.83,180.20985
217.5,170.4066
172.37,171.76505
162.5,183.71376
127.5,137.3186
275.0,249.72679
115.67,138.26926
292.57,251.72836
220.0,234.63908
157.5,183.19435
225.0,212.6493
130.0,121.882355
140.0,134.3394
97.52,116.81615
272.5,227.9897
252.5,243.70569
102.5,122.26324
225.0,270.98178
160.0,185.27853
129.27,161.24617
277.5,236.48167
182.5,204.70581
158.76,177.77046
160.0,144.20906
90.0,107.0254
208.65,201.98988
200.0,215.57501
250.0,256.75714
240.0,240.54489
107.5,108.0086
182.5,157.0759
62.5,79.60645
230.0,210.41447
220.0,222.14795
280.0,269.45743
277.5,250.21213
282.5,235.8627
215.0,249.62144
149.69,141.44681
215.0,210.65097
137.5,121.943115
142.5,136.52734
180.0,217.84344
229.06,242.81085
200.0,180.781
235.87,227.5344
145.0,161.77779
290.3,252.4952
67.5,85.53933
312.5,297.0156
190.0,171.45338
272.5,249.70197
165.0,200.28484
200.0,197.67877
185.0,146.34886
145.15,163.40283
125.0,143.77101
160.0,168.41586
124.74,111.09092
200.0,195.83893
237.5,220.15863
142.88,159.48164
195.04,216.6751
145.0,169.03987
215.0,226.06696
115.0,113.82066
88.45,70.38128
220.0,225.34113
275.0,263.50638
181.44,180.52527
195.04,203.0837
275.0,240.01695
225.0,227.11343
167.5,167.56554
163.29,174.13565
275.0,264.47357
230.0,203.32744
155.0,153.3048
158.76,150.2188
260.82,236.53917
149.69,140.51497
245.0,246.70363
220.0,224.00868
110.0,93.636795
120.0,107.88745
292.5,286.463
233.6,224.8078
136.08,128.10983
232.5,218.48872
275.0,277.40628
117.5,121.96309
202.5,229.72453
190.0,207.8452
197.5,179.06659
65.0,207.19623
140.0,147.95549
150.0,155.95833
206.38,207.12976
180.0,203.69893
120.0,119.68623
225.0,200.2864
130.0,119.742134
230.0,243.47856
300.0,275.83826
152.5,151.09122
255.0,231.13919
230.0,203.68593
183.7,194.93199
240.0,243.78769
226.8,220.10635
157.5,159.70972
170.0,159.06715
300.0,295.6466
120.0,124.68979
177.5,189.41798
190.0,174.11432
187.5,187.6788
235.87,228.72282
282.5,261.03574
227.5,256.84204
158.76,159.4754
156.49,170.56926
200.0,208.01518
215.0,196.33064
102.5,107.11938
106.59,147.54214
107.5,100.215904
202.5,195.42773
124.74,132.49898
115.0,115.09589
217.5,247.15038
152.5,153.83955
182.5,196.23225
275.0,282.73923
219.99,187.32106
160.0,165.66534
225.5,216.75511
147.5,127.50631
197.31,223.80824
213.19,214.58217
307.5,280.67218
192.5,177.12613
104.33,104.90763
229.06,226.4004
179.17,195.84401
270.0,265.46558
185.0,227.20963
240.0,215.68794
295.0,264.7847
302.5,298.87527
195.0,197.83197
125.0,125.99399
207.5,228.72453
175.0,161.34258
232.5,265.14435
162.5,164.19206
205.0,209.79962
142.5,139.04572
192.78,199.16728
202.5,206.247
117.5,103.05457
250.0,239.76978
320.0,285.43936
125.0,146.53722
285.0,270.48547
205.0,223.29405
102.5,115.38503
260.0,262.54446
275.0,237.39046
280.0,265.8651
140.61,135.71904
205.0,174.95847
137.5,139.05449
270.0,304.8625
183.7,209.09903
165.0,164.1062
149.69,208.30688
187.5,207.43303
165.56,154.00311
136.08,119.62338
197.5,201.20805
300.0,290.13043
92.99,117.45205
142.5,141.2682
158.76,184.20398
170.0,156.26363
247.5,241.993
135.0,150.63254
201.85,209.02827
183.7,166.18076
195.0,204.65651
122.5,121.28436
252.5,253.91005
215.0,211.04488
204.12,183.75146
157.5,166.59041
170.0,147.65996
315.0,303.47235
345.0,306.8064
80.0,72.43191
170.0,208.64342
127.5,143.1012
220.0,248.54639
201.85,191.6109
165.56,145.12448
192.78,175.72266
215.0,217.46532
272.5,245.21945
133.81,158.46278
185.97,159.20813
275.0,281.6197
226.8,238.46349
104.33,126.5701
122.5,158.62239
272.5,269.89215
142.5,145.01852
197.5,163.17354
